vin,name,city,mileage,age,service_gap,battery,errors,year,next_service
1C4RJF,Jeep Grand Cherokee,Rajouri Garden,78900,3,180,78,2,2021,2024-01-15
JN1TBN,Mercedes E Class,Shalimar Bagh,34567,2,90,90,0,2022,2024-03-28
3GKALM,BMW X5,Paschim Vihar,89200,4,220,65,4,2023,2024-01-20
WVWZZZ,Audi A6,Tilak Nagar,23456,2,120,82,1,2023,2024-01-25
5YJSA1,Tesla Model S,Preet Vihar,12450,1,60,95,0,2023,2024-04-05
2FMDK3,Ford F-150,Geeta Colony,45230,3,150,70,2,2022,2024-03-15
5YFBUR,Toyota Camry,Rajendra Palace,67890,4,200,75,1,2021,2024-02-20
SALGS2,Range Rover Sport,Adarsh Nagar,55600,3,160,68,3,2022,2024-03-10
MAJAXX,Hyundai Creta,Pitampura,29800,2,90,88,0,2023,2024-04-12
KNAFG4,Kia Seltos,Rohini,41200,3,140,72,1,2022,2024-03-18
